id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	addition	0.2351	0.2198	2	74	4851	170	2016.4471	26.8059	0.8211
2	analysis	0.6814	0.4402	2	74	6877	269	2014.0372	32.4907	0.6042
3	antibody	1.124	0.2502	2	72	3867	135	2014.237	40.437	0.673
4	array	1.1352	0.0984	2	71	2242	107	2012.0841	54.486	0.9057
5	biocompatibility	-0.533	-0.2031	1	74	3950	249	2017.8635	39.5663	1.3125
6	biological system	-0.5547	0.5336	3	70	752	58	2018.2069	35.2414	1.0945
7	biology	-0.3171	0.8788	3	72	3510	164	2014.9512	40.5244	0.6931
8	biomedical application	-0.6467	-0.0402	1	74	3697	290	2019.3345	46.7414	1.7358
9	biomedicine	-0.7462	0.0214	1	70	1430	81	2020.1728	22.9383	0.9562
10	biomolecule	0.2333	-0.5206	4	74	2937	180	2014.9222	43.3056	0.9083
11	biopolymer	-0.7128	-0.3719	1	70	1435	88	2019.1364	21.0682	0.6864
12	biotechnology	-0.2195	0.5823	3	72	1687	98	2014.3571	36.1531	0.796
13	cancer	0.0943	0.8761	3	71	2151	80	2018.1375	12.8125	0.4602
14	carbon nanotube	0.0969	0.0416	1	72	1673	112	2015.5357	40.8304	0.7437
15	cell	0.2335	0.4343	2	74	21418	786	2015.257	33.7837	0.8582
16	cell adhesion	-0.4689	-0.9445	4	66	1138	70	2013.3857	33.8429	0.7524
17	chemistry	-0.2836	0.2635	3	74	3376	179	2013.5754	22.0056	0.6745
18	chitosan	-0.8337	-0.1985	1	72	2757	116	2019.8879	32.3276	1.1448
19	coating	-0.393	-0.5558	4	74	4955	233	2015.6266	25.0386	0.7028
20	component	0.3841	0.5183	2	74	3604	153	2016.0915	38.6797	1.0427
21	composite	-0.3216	-0.2204	1	73	1507	131	2016.1908	110.313	1.9031
22	concentration	0.8746	0.2386	2	74	5279	212	2016.5	13.3443	0.4917
23	control	-0.0292	-0.2793	4	74	3397	176	2013.9091	32.0966	0.7065
24	detection	0.8244	0.1935	2	74	7715	462	2017.4004	24.0779	0.6482
25	diagnosis	0.1659	0.8318	3	73	2602	155	2019.3097	13.4774	0.6224
26	disease	0.0001	0.8366	3	73	4066	189	2020.0741	20.1481	0.8433
27	dna	0.4433	-0.0129	2	74	2637	164	2014.1159	71	0.976
28	drug delivery	-0.6354	0.3155	1	74	3891	257	2018.4786	31.2374	1.189
29	drug delivery system	-0.7735	0.1037	1	73	1885	132	2016.5152	41.0455	1.2675
30	electrochemical biosensor	1.0408	-0.1154	2	64	761	69	2018.4058	34.3478	1.1838
31	electrode	0.9629	-0.4406	2	73	6219	328	2014.1433	89.3049	1.0924
32	enzyme	1.0507	0.0454	2	72	6237	250	2013.7	51.644	0.8241
33	film	-0.4674	-0.6862	1	73	9018	393	2014.5725	34.542	0.7482
34	graphene	0.4696	-0.4488	1	69	1632	102	2017.8627	27.3627	0.7901
35	graphene oxide	-0.0617	-0.3907	1	69	1292	58	2018.7414	39.1897	1.1685
36	high sensitivity	1.0573	-0.4072	2	65	1136	65	2016.2308	36.4308	1.1129
37	immobilization	0.5854	-0.6495	4	73	3117	199	2011.1256	33.8342	0.6043
38	interaction	0.2224	-0.2637	4	74	8880	472	2014.4131	47.0466	0.7987
39	interface	0.1256	-0.6531	4	74	4410	248	2013.8065	41.5363	0.7939
40	layer	0.4265	-0.7394	4	74	5110	227	2013.6167	30.9515	0.6313
41	limitation	0.2945	0.5621	2	73	1824	83	2019.1687	33.3976	1.3593
42	mechanical property	-0.7735	-0.3091	1	74	1751	81	2018.2469	31.8642	1.0221
43	medicine	-0.5279	0.6997	3	72	3317	192	2018.1458	70.0885	0.733
44	metal	-0.159	0.3745	3	71	1656	90	2015.9	29.6111	0.7266
45	modification	-0.2801	-0.5299	4	74	3426	205	2016.0537	31.9024	1.0729
46	nanomaterial	-0.2434	0.3781	1	73	4973	281	2019.2776	25.0249	0.7916
47	nanomedicine	-0.5595	0.776	3	65	1861	64	2017.0156	7.9375	0.2623
48	nanotechnology	-0.3728	0.7801	3	74	3882	210	2018.5095	22.3619	0.5159
49	organ	-0.3709	0.7307	3	72	1623	84	2017.4167	81.6667	0.6136
50	particle	0.9118	0.3438	2	74	3320	141	2012.0071	18.4539	0.4039
51	patient	0.3836	0.9491	3	72	2097	69	2017.5797	8.0725	0.3606
52	peptide	-0.3538	-0.0947	1	74	4128	189	2015.9418	39.8889	0.8964
53	poly	-0.4878	-0.8351	1	74	3769	205	2015.278	58.7659	1.0217
54	polymer	-0.5364	-0.5682	1	74	7043	460	2015.4543	71.8935	1.7288
55	potential application	-0.6882	-0.1515	1	73	1418	75	2016.8133	20.5867	0.7296
56	presence	0.4939	-0.3479	2	73	1712	101	2014.8416	24.7525	0.4186
57	progress	-0.3959	0.5383	3	74	2822	155	2017.5677	43.8387	1.3029
58	protein	0.1722	-0.4347	4	74	12219	730	2012.5342	47.2041	0.875
59	protein adsorption	-0.1572	-1.3644	4	56	1786	101	2011.3762	40.4752	0.7739
60	regenerative medicine	-0.8311	0.3961	1	71	1840	100	2020.27	18.81	1.0339
61	response	0.4183	0.2218	2	74	6959	299	2015.7391	60.4047	0.9644
62	scaffold	-0.8322	0.1436	1	74	4481	214	2019.1916	44.243	1.2546
63	selectivity	0.9571	-0.2298	2	72	1437	80	2018.025	19.7375	0.7335
64	self assembly	-0.0409	-0.1256	1	70	1626	88	2016	41.8295	1.1184
65	sensitivity	0.9609	-0.1244	2	74	4129	250	2017.984	18.992	0.6433
66	sensor	0.6812	-0.0855	2	74	9462	533	2015.045	40.8612	0.9196
67	silk	-0.9999	-0.16	1	67	1160	67	2020.1791	33.3582	1.1013
68	size	0.6329	0.59	2	74	4632	147	2015.8912	20.5238	0.5922
69	solution	0.3615	-0.249	2	74	7362	272	2015.0882	22.0809	0.5362
70	substrate	-0.0042	-0.6887	4	74	4972	235	2014.634	24.7872	0.5716
71	surface	0.2032	-0.7927	4	74	16090	933	2012.6088	47.4512	0.6987
72	synthesis	-0.4095	0.2099	1	74	3264	190	2016.2368	60.5526	1.5932
73	temperature	-0.6623	-0.5912	1	73	2745	119	2016.605	29.0672	0.7867
74	tissue engineering	-0.7796	0.2633	1	74	6329	358	2017.743	53.148	1.5149
75	vitro	-0.4743	0.1433	1	73	833	50	2015.16	28.26	0.6597
