id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	absence	0.2276	-0.3098	2	50	90	10	2019.1
2	adhesion	-0.4236	0.8955	3	68	381	48	2018.4167
3	afm	0.3604	0.7156	4	77	241	21	2014.9524
4	ag agcl	1.0379	-0.0444	1	44	104	10	2012
5	alzheimer	-0.8261	-0.7724	6	54	158	14	2021.8571
6	amperometric biosensor	1.0033	0.3049	1	71	196	19	2012.7895
7	antigen	-0.1641	-0.8984	2	74	285	31	2020.5484
8	applicability	-0.4426	-0.5115	2	83	191	22	2020.9091
9	aptasensor	0.1688	-0.4782	2	72	321	30	2020.5
10	ascorbic acid	1.1267	0.2064	1	53	143	13	2015.4615
11	aspect	-0.7035	0.1733	3	94	260	28	2019.0714
12	atomic force microscopy	0.2247	0.7908	4	66	185	19	2015.2105
13	au electrode	0.8061	0.6987	4	39	161	14	2015.0714
14	bacteriophage	-0.7753	0.1537	3	42	189	27	2021.1481
15	bacterium	-0.1386	0.0688	2	108	625	72	2020.5417
16	bind	-0.9453	0.2663	3	45	111	12	2017.0833
17	bio sniffer	-0.869	-0.6204	5	33	595	39	2018.3846
18	biocompatibility	-0.3559	0.2309	3	154	669	69	2018.4058
19	bioelectronic	0.5746	0.2846	1	47	111	12	2013.6667
20	biofouling	-0.075	0.3848	4	30	106	12	2016.5833
21	biological application	-0.473	0.2994	3	43	87	11	2019.7273
22	biomarker	-0.178	-0.685	2	178	1707	179	2020.9832
23	biomedical application	-0.6603	0.29	3	131	655	66	2019.7273
24	biomedicine	-0.8375	0.0403	3	33	107	12	2020.3333
25	biopolymer	-0.5443	0.7177	3	64	227	23	2020.2174
26	biosensing application	-0.0296	-0.1348	1	73	179	17	2019.4118
27	biosensor development	-0.8234	0.5255	3	75	208	21	2020.7143
28	biosensor technology	-0.5472	-0.5183	2	75	247	27	2018.7037
29	biotin	0.5827	0.9248	4	25	78	14	2013.2143
30	bovine serum albumin	0.2759	0.4262	4	69	147	16	2015.9375
31	brain	-1.1608	-0.7164	6	23	123	12	2020
32	breast cancer	0.3716	-0.8079	2	68	238	24	2020.6667
33	cancer	-0.0213	-0.8551	2	147	977	86	2021.2907
34	cancer detection	0.0356	-0.8561	2	45	122	16	2021.6875
35	cancer diagnosis	0.275	-1.1007	2	57	250	22	2022.1818
36	carbohydrate	-0.1644	0.623	4	25	82	11	2018.3636
37	carbon nanotube	0.8089	0.0709	1	117	520	55	2015.7455
38	cardiovascular disease	-0.5236	-0.5917	2	42	134	13	2020.8462
39	care	-0.3604	-0.6131	2	99	294	28	2021.5
40	catalytic activity	0.7424	-0.2165	1	61	166	15	2020.5333
41	cell adhesion	-0.3427	0.8213	4	51	157	25	2014.08
42	cell viability	-0.3705	0.1333	3	47	105	17	2018.8824
43	cellulose	-0.5562	0.2988	3	58	211	30	2018.4
44	chitin	-0.7197	0.685	3	35	103	14	2018
45	chitosan	-0.1558	0.4547	3	112	620	61	2019.0328
46	cholesterol	0.6244	0.1129	1	48	135	12	2018.5
