id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	analysis	0.572	-0.0896	2	20	59	21	2012.1905	33.4286	1.3279
3	bioelectronic	-0.1013	0.7074	1	13	28	8	2019.5	16.5	4.1274
4	biological system	0.1773	0.7151	1	14	21	7	2018.7143	15	1.3921
5	biosensing application	0.1075	-0.8186	4	12	32	7	2014.5714	3	0.8706
6	biosensor	0.2805	-0.2066	2	22	101	27	2014.4444	23.2222	1.0041
7	detection	0.5655	-0.2207	2	21	85	22	2015.6364	27	1.7718
9	device	0.0955	0.3266	1	21	106	39	2014.0769	43.2821	1.8218
10	diagnosis	0.2733	0.3383	1	13	24	8	2016.625	20.25	3.4015
11	electrical signal	1.2877	0.2476	2	8	19	6	2018.6667	8.1667	2.0771
15	electronic device	-0.4735	0.812	1	10	28	13	2016.6154	24.2308	0.6017
16	element	-0.7228	0.4131	1	14	36	14	2013.2143	16.5	1.0624
17	enzyme	-0.7786	-0.3644	3	10	26	9	2010.7778	30.5556	1.0247
18	function	-0.071	0.4691	1	17	35	12	2013.5	83.25	2.5428
19	glucose	-0.3052	-0.7433	4	13	22	6	2014.8333	7.1667	1.0688
20	high sensitivity	0.2219	-0.9709	4	10	22	6	2014.6667	37	1.0719
21	integration	-0.3869	0.1376	1	19	59	14	2015.0714	83.2143	2.4248
22	nanobioelectronic nose	-1.1028	-0.0686	3	7	11	5	2010.6	63.2	1.7636
23	nanoscale device	1.4856	0.1517	2	5	16	6	2013.6667	18	1.0612
28	protein	-0.6495	-0.0737	3	16	53	20	2010.25	67.9	1.3082
29	sensing	-0.0411	-0.1047	4	17	36	12	2019.9167	11.1667	3.4502
30	sensitivity	0.1487	-0.6314	4	16	46	9	2017	15.6667	1.3092
31	sensor	-0.3528	-0.2724	3	19	83	24	2012.375	69.625	2.1024
32	strategy	-0.23	0.2465	3	15	40	14	2017.4286	61.6429	3.6791
