id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	analytical voltammetry	3.0355	0.0116	5	12	591	53	2020.5849	2.9434	0.0977
2	azurin	-0.5179	-0.0653	1	7	22	6	2004.3333	10.5	0.1035
3	bioelectronic	-0.3519	0.0513	2	26	246	23	2022.2174	13.4348	4.4949
4	biofet	-0.8322	-0.0396	4	15	74	5	2016	16.4	0.5798
5	biofouling	-0.3798	0.0263	3	4	48	6	2023	1	0.5161
6	biology	-0.4009	0.0054	3	32	127	11	2014.3636	18.9091	2.3693
7	bloch oscillation	-0.3131	-0.1427	6	10	72	4	2019	0.5	0.1324
8	cancer	-0.3352	0.0693	2	11	31	4	2018.5	7.5	2.5727
9	care diagnostic	3.0214	-0.016	5	12	581	52	2020.8654	1.0192	0.0625
10	charge transfer	-0.3184	-0.1226	6	14	57	10	2014.2	18.7	0.7187
11	chemphyschem	-0.5574	0.0109	1	4	13	4	2016	0.75	0.2161
12	clinical data	-0.2845	0.0789	2	16	48	5	2008.8	32.6	1.1796
13	cnt	-0.412	0.0186	2	4	30	6	2008.3333	484.6667	3.8517
14	cnts	-0.4427	0.0127	2	20	92	6	2006.8333	366.8333	2.9512
15	communication method	-0.8372	-0.0418	4	15	59	4	2016	11	0.3889
16	constant electric field	-0.3151	-0.1388	6	10	128	8	2019	0.5	0.1324
17	control	-0.2822	0.0724	2	20	52	8	2010.625	77.375	2.3516
18	detection	-0.4115	0.0891	3	44	313	28	2015.3929	27.6429	3.5275
19	detection probe	-0.4162	0.1627	3	5	96	4	2020	0	0
20	detection scheme	3.0355	0.0027	5	12	591	53	2020.5849	2.9434	0.0977
21	diagnosis	-0.3229	0.0619	2	20	54	8	2015.75	27.375	5.2223
22	diamond	-0.318	-0.03	3	4	41	8	2005.25	81.25	1.5215
23	disease	-0.3365	0.0502	2	25	96	10	2019.6	19.9	2.7907
24	dna probe	-0.417	0.164	3	5	96	4	2020	0	0
25	drug delivery	-0.5027	0.0072	1	26	128	4	2006.75	46.25	1.345
26	electric field intensity	-0.3144	-0.1425	6	10	72	4	2019	0.5	0.1324
27	electrical signal	-0.7724	-0.0272	4	18	63	5	2017.8	9.4	0.6111
28	electroanalysis	3.0485	0.0026	5	12	629	58	2019.8103	8.0172	0.189
29	electroanalytical chemistry	3.0463	-0.0113	5	12	599	54	2020.3148	4.7963	0.1316
30	electromaterial	3.0214	0.0084	5	12	581	52	2020.8654	1.0192	0.0625
31	electron transfer	-0.5281	0.0151	1	13	35	7	2017.7143	6.2857	0.6726
32	electronic device	-0.3239	-0.1183	6	16	58	7	2014.5714	13.4286	0.3174
33	enzyme	-0.511	-0.0291	1	19	117	18	2011.8889	17.2222	0.9494
34	exchange	-0.8164	-0.0369	4	18	62	5	2017.8	8.8	0.3111
35	fabrication	-0.4795	0.0034	1	38	366	16	2008.1875	23.1875	0.9414
36	film	-0.3258	-0.023	3	11	55	14	2008.5	32	0.6383
37	future	-0.5345	0.0211	1	29	94	7	2016.7143	33.2857	2.4549
38	g protein	-0.556	0.0317	1	26	122	4	2012.25	100.75	3.1653
39	gold substrate	-0.5314	0.0277	1	7	24	5	2011.6	0.4	0.0127
40	graphical abstract electroanalysis	3.0632	-0.0042	5	12	84	7	2018.8571	6.7143	0.2132
41	growth	-0.3717	-0.0202	3	28	84	8	2009.75	36.75	1.4817
42	high sensitivity	-0.5057	0.0843	1	5	16	4	2013	103.25	3.7624
43	holstein polaron	-0.3137	-0.1413	6	10	72	4	2019	0.5	0.1324
44	immobilization	-0.5102	-0.0493	1	21	154	12	2012.1667	7.8333	0.8179
45	information transfer	-0.8358	-0.0407	4	15	59	4	2016	11	0.3889
46	ligase	-0.4154	0.164	3	5	96	4	2020	0	0
47	limitation	-0.7879	-0.0354	4	30	104	6	2014.1667	7.8333	0.3383
48	mathematical biology	0.608	-0.0118	7	1	2	4	2011	3.75	0.1202
49	mc receiver	-0.832	-0.0405	4	15	74	5	2016	16.4	0.5798
50	medical nanorobot	-0.2978	0.0777	2	9	39	4	2012.25	5.25	0.1558
51	medical nanorobotic	-0.2553	0.0765	2	15	37	5	2007.8	69.4	1.8531
52	microcantilever	-0.5529	-0.0122	1	22	191	5	2006.6	4.6	0.0927
53	microtubule	-0.3379	-0.1147	6	4	12	11	2013.3636	18.1818	0.7528
54	modeling	-0.5013	-0.0277	1	44	244	11	2010.5455	27.2727	0.9426
55	molecular communication	-0.835	-0.042	4	15	95	7	2016	7.1429	0.2525
56	molecular machine	-0.2689	0.0697	2	15	42	5	2007.2	110.4	3.0292
57	molecule	-0.5157	-0.0535	6	56	283	26	2014.2308	15.1538	1.044
58	nanobioelectronic	0.3835	-0.0082	7	64	901	104	2016.8558	22.2404	0.8559
59	nanobioelectronic mc receiver architecture	-0.8358	-0.0395	4	15	59	4	2016	11	0.3889
60	nanobioelectronic nose	-0.5424	0.0484	1	12	39	6	2009.6667	32.6667	1.037
61	nanobioelectronic system	-0.4216	0.0404	2	14	23	7	2017.2857	7.7143	0.9569
62	nanobioelectronic tongue	-0.5206	0.0788	1	11	36	4	2013.5	102	3.5041
63	nanobiosensor	-0.4791	0.0247	1	30	111	9	2009.6667	27.1111	0.8958
