id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	adsorption	-0.0739	0.1675	4	13	30	5	2016.2
2	advance	0.4822	-0.3024	1	32	99	5	2018.2
3	afm	-0.0792	-0.2044	1	10	21	3	2014.3333
4	assembly	-0.6611	-0.0631	3	27	158	15	2012.3333
5	azurin	-0.9257	-0.3862	5	11	46	4	2004
6	binding	-0.436	0.4554	3	16	34	3	2011.3333
7	biocompatibility	0.7984	-0.2286	1	27	66	3	2021.6667
8	bioelectronic	1.0075	-0.1032	2	32	402	21	2022.7619
9	bioelectronic medicine	0.3276	-0.425	1	14	45	6	2019.5
10	biological component	-0.0179	-0.5968	1	14	22	3	2013.6667
11	biological field	-0.0325	-0.2859	1	6	21	3	2014
12	biological system	0.7434	0.1742	2	35	101	6	2021.3333
13	biology	0.4219	-0.3211	1	25	84	9	2017
14	biomolecule	-0.5775	-0.4897	6	36	149	11	2007.0909
15	capacity	0.0668	-0.3896	1	5	15	3	2016
16	carbon nanotube	-0.1014	-0.25	6	44	123	13	2011.6923
17	case	0.4109	0.2034	3	30	82	5	2014.4
18	cnt	-0.6477	-0.6942	6	10	61	5	2007
19	cnts	-0.6982	-0.7426	6	8	42	3	2004
20	concentration	-0.524	0.3426	4	23	54	8	2016.125
21	conformation	-0.3652	0.4781	3	15	68	5	2011.6
22	detection	-0.3876	0.2527	4	31	125	14	2020
23	disease	0.9073	-0.2168	1	33	150	8	2019.5
24	efficiency	-0.3242	0.1978	3	22	73	7	2011.2857
25	electrical signaling	0.8021	0.454	2	3	12	4	2025
26	electrode	-0.2059	-0.0417	6	29	139	19	2016.3684
27	element	0.5968	0.2873	2	24	75	5	2019
28	enzyme	-0.9678	-0.0085	5	22	103	10	2007.6
29	fabrication	-0.7273	-0.1824	5	22	68	5	2016.4
30	film	-0.1771	0.2782	3	9	82	8	2010.5
31	formation	-0.47	0.2306	3	28	115	12	2012
32	functionality	0.2404	0.067	2	37	149	9	2015.2222
33	graphene	0.383	-0.071	1	28	44	3	2020
34	high sensitivity	-0.9017	0.6407	4	15	53	4	2013.75
35	immobilization	-0.985	-0.3523	5	10	36	4	2003.5
36	importance	-0.6053	-0.1484	5	23	51	5	2013.8
37	ligand	-0.7135	0.3512	3	19	75	6	2013.1667
38	limitation	0.1063	-0.2855	1	17	39	5	2016.8
39	mechanical property	1.5626	0.3502	2	20	112	3	2020
40	medical nanorobotic	0.7083	-0.5247	1	10	30	4	2007.75
41	mesh nanoelectronic	1.4846	0.5066	2	12	300	10	2018
42	monitoring	1.138	0.1263	2	31	229	11	2014.2727
43	nano bioelectronic	0.2537	-0.2175	1	26	76	6	2016.5
44	nano bioelectronic device	0.1358	-0.0989	1	18	37	4	2016.5
45	nanobioelectronic tongue	-1.1721	0.6018	4	13	57	3	2015
46	nanobiotechnology	-0.5433	-0.6936	6	12	30	3	2004.6667
47	nanodevice	-0.2238	-0.4104	1	33	95	9	2012
48	nanoelectronic	0.6581	-0.4341	1	24	58	5	2009.4
49	nanoelectronic device	0.8228	-0.0445	1	28	88	4	2014.75
50	nanorobot	0.6352	-0.5108	1	10	54	7	2007.4286
51	nanoscale	-0.0438	-0.3192	1	38	76	7	2014.5714
52	nanoscale device	0.0571	-0.4581	1	11	20	4	2017.5
53	nanoscale structure	1.3631	-0.0958	2	12	132	4	2024
54	nanotechnology	0.6049	-0.41	1	36	192	14	2017
55	nanotube	-0.5406	0.0958	4	23	74	6	2011.6667
56	nanowire	-0.5346	-0.157	3	34	222	29	2013.5172
57	natural receptor	-1.3341	0.3843	4	9	200	10	2019
58	nbe tongue	-1.0494	0.6283	4	9	39	3	2013
59	neuron	0.5624	0.5746	2	27	154	7	2019
60	nws	-0.3752	0.6145	3	6	56	7	2016
61	optical biosensor	-0.5246	-0.3133	5	5	18	3	2011
62	organic compound	-0.3883	0.6526	4	5	40	4	2022
63	parylene	-0.001	0.0442	3	5	24	4	2018
64	protein	-0.8775	-0.091	5	37	266	23	2011.7391
65	receptor	-1.2593	0.468	4	17	174	9	2015.7778
66	response	0.0788	0.5293	4	37	222	12	2019.9167
67	seamless integration	1.6005	0.5475	2	12	111	3	2018
68	semiconductor nanostructure	0.5603	-0.2615	1	16	63	3	2016
69	sensing	0.6572	0.0122	2	35	195	11	2022.4545
70	sensor	-0.6415	0.1958	4	52	268	18	2014.8889
71	silicon nanowire	0.2443	-0.2632	1	31	55	4	2016.25
72	solid state	-0.9243	-0.3918	5	11	46	4	2004
73	stimulation	1.0596	0.2766	2	24	87	6	2022.6667
74	surface	-0.3443	-0.0185	3	41	176	19	2010
75	swcnt	-0.289	0.3028	6	6	27	3	2025
76	synthesis	0.091	0.1405	3	31	92	5	2015.2
77	tissue	1.3905	0.3755	2	30	338	11	2018.3636
78	water	-0.2912	0.4953	4	16	47	5	2020.4
