id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	2d material	0.4117	-0.4768	1	128	507	47	2022	73.1702	2.4977
2	absorption	0.7144	0.1398	6	210	543	55	2018.2	21.7091	0.7665
3	acceptor	1.1424	-0.0096	6	122	345	37	2018.7297	93.4054	2.4906
4	acetoin	-0.9987	0.8734	5	28	323	22	2020.5909	6.5455	0.2071
5	ache	0.5174	0.6674	4	40	152	23	2016.6087	28.8696	0.6269
6	active layer	0.0343	-0.6653	1	106	231	18	2020.3333	57.3889	1.934
7	active material	0.128	-0.6581	1	93	187	20	2019.55	42.7	1.3079
8	actuator	0.1545	-0.4048	1	68	139	18	2011.5	50.3333	1.1743
9	adhesion	-0.2561	0.1335	2	105	217	34	2011.2059	20.5	0.4855
10	adsorption	0.1168	0.5409	2	284	1013	103	2015.7476	25.0777	0.7017
11	advanced biosensor	-0.302	-0.0819	3	41	69	10	2019.6	6	0.5155
12	afm	-0.18	0.3613	5	158	421	43	2012.5581	25.6512	0.4715
13	algan gan high electron mobility transistor	-0.7525	0.0945	3	48	89	11	2018.5455	21.9091	1.1353
14	alkaline phosphatase	0.9691	0.2099	6	63	140	11	2016.8182	90.7273	1.9029
15	alzheimer	-0.3197	0.2521	2	53	92	11	2020.4545	67.3636	2.0116
16	ammonia	-0.0661	0.4651	2	35	106	12	2012.0833	16.5	0.8278
17	amperometric biosensor	0.6152	0.5297	6	85	191	20	2009.15	51.25	0.9432
18	amplifier	-0.6094	-0.4945	3	211	919	106	2018.9057	12.9245	0.4442
19	amplitude	-0.7367	0.362	5	88	206	21	2016.7619	8.7143	0.3809
20	analytical model	-1.1107	-0.5886	3	92	331	32	2020.2188	30.4375	1.0595
21	analytical performance	0.6861	0.2777	4	156	292	32	2020.4688	22.9062	0.9953
22	annealing	-0.0862	0.986	5	119	401	31	2014.9355	17.9355	0.4212
23	annealing temperature	-0.3979	1.1437	5	64	281	20	2013.85	20.35	0.5084
24	antenna	0.3025	-0.2718	4	46	288	32	2017.625	17.3438	0.5625
25	antibiotic	0.6833	0.1243	6	65	115	17	2021.4706	20.1765	1.3412
26	antigen	-0.4888	0.2008	2	217	658	70	2015.1857	31.9429	0.9489
27	aptasensor	0.3699	0.3527	6	129	440	45	2021.3778	40.3333	1.4096
28	apte	-0.6914	0.48	5	105	241	18	2016.2778	22.3333	0.5033
29	aptes	-0.3994	0.5969	5	84	215	16	2012	42.9375	0.7228
30	aqueous environment	-0.2312	-0.8966	1	60	126	11	2020.2727	21.9091	0.9302
31	aqueous medium	0.4332	0.5128	6	43	113	14	2011.6429	39.7143	0.8926
32	artificial intelligence	-0.1112	-0.5334	1	58	115	15	2022.9333	14.6667	1.2248
33	ascorbic acid	0.6307	0.4212	4	161	415	29	2018.5172	28.2069	1.0301
34	atomic force microscopy	-0.3917	0.7775	5	239	885	73	2013.5753	20.137	0.496
35	atomic layer deposition	-0.2553	0.036	3	76	167	18	2017.2222	14.6111	0.5307
36	au nanoparticle	0.6671	0.4143	4	82	156	16	2015.4375	44.0625	1.141
37	bacterium	0.0192	0.1261	2	178	574	74	2017.2297	28.0541	0.9265
38	band gap	0.825	0.2598	4	187	563	55	2020.5091	32.8727	1.2015
39	bandgap	0.8913	-0.4345	1	121	330	28	2022	35.5357	4.1354
40	bandwidth	-1.0439	-0.5831	3	48	169	23	2018	21.1739	0.5749
41	based biosensor	-0.5674	-0.5872	3	145	303	28	2019.3214	17.6071	0.6085
42	battery	0.6121	-0.3318	1	148	326	30	2019.5	50.1	1.7683
43	bi2s3	1.3548	-0.1503	4	23	99	11	2024.0909	71.8182	18.9962
44	bilayer	-0.5409	0.6761	5	102	430	31	2017.9032	17.871	0.6855
45	bio molecule	-0.9403	-0.4274	3	60	125	16	2017.6875	21.9375	0.6505
46	bioanalysis	0.8558	0.0435	4	143	378	42	2018.7143	70.3333	2.0386
47	biochemical sensor	-0.3646	-0.4103	1	83	162	21	2013.4286	38.6667	0.8189
48	bioelectronic application	0.1371	-0.7889	1	47	85	12	2019.9167	73	2.8201
