id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	advancement	0.4424	-0.3137	3	109	1815	102	2022.4706	11.7549	1.1385
2	afm	0.4941	0.2951	4	93	769	55	2011.0364	13.8182	0.2402
3	analyte	-0.2884	-0.0022	4	118	3813	220	2016.4955	24.8318	0.844
4	antibody	-1.1213	-0.4054	2	118	9519	289	2014.6851	45.5329	0.9767
5	aptamer	-0.5671	-0.3502	2	107	1943	104	2019.3269	23.7596	1.0567
6	atomic force microscopy	0.4628	0.3804	4	95	709	53	2012.0566	14.1698	0.3792
7	bacterium	-0.4881	-0.572	2	109	2358	100	2017.84	20.53	0.7598
8	biocompatibility	0.291	-0.0934	3	116	1626	103	2018.6117	19.301	0.9142
9	biology	-0.4435	-0.917	2	109	2198	99	2015.0404	35.0202	1.0959
10	biomarker	-0.6887	0.0133	2	119	3445	210	2018.8952	21.819	0.9429
11	biomolecule	-0.188	0.4287	1	118	5216	354	2016.1017	31.8983	0.8622
12	biosensing	-0.0198	-0.4225	2	119	3044	255	2017.0863	55.2549	1.9546
13	biosensing application	0.1391	0.3756	1	115	1440	105	2017.5714	24.7048	0.8469
14	biosensor application	-0.2777	0.1999	1	108	1017	78	2014.9359	22.5128	0.8086
15	biotechnology	-0.5069	-0.9671	2	97	1329	76	2012.8553	16.5658	0.408
16	care	-0.8864	0.0593	2	107	1226	68	2017.7206	40.9118	1.4286
17	cell	-0.6724	-0.3021	2	119	12468	570	2015.0281	27.0228	0.7272
18	change	-0.226	0.4252	1	119	6874	444	2015.6734	27.3086	0.6333
19	characteristic	0.2014	0.5154	1	119	6702	396	2017.0783	16.1818	0.6484
20	charge	-0.0067	0.8811	1	117	3328	210	2015.7	13.1238	0.4358
21	chem	-0.3559	-0.5426	2	100	3339	71	2016.7183	6.0704	0.2189
22	chemical sensor	0.8401	0.1285	3	98	1081	95	2011.4421	49.2105	1.1173
23	chip	-0.9995	-0.2972	2	117	9764	383	2014.3238	20.7755	0.53
24	cmo	-0.8074	0.5735	1	88	866	60	2016.4667	20.5833	0.7814
25	cmos	-0.7461	0.3099	1	111	2490	205	2016.1561	15.7512	0.4686
26	cnts	0.6628	-0.9959	3	86	1859	72	2012.7361	74.5556	1.3854
27	complementary metal oxide semiconductor	-0.7572	0.4353	1	110	1864	169	2015.7692	20.4024	0.6493
28	concentration	-0.2932	0.3626	1	119	9451	529	2016.3686	18.3611	0.5886
29	conductivity	1.0798	0.2974	3	112	3256	150	2016.1	17.8133	0.6405
30	construction	-0.7145	-0.6924	2	103	1331	70	2013.1286	50.2429	1.3096
31	cost	-0.6679	-0.1224	2	113	2437	125	2017.392	13.192	0.5358
32	detection limit	-0.4196	-0.1982	2	118	2841	176	2018.2102	28.642	1.1341
33	diagnosis	-0.8939	-0.1993	2	118	5060	250	2018.096	28.344	1.0657
34	diode	0.8282	-0.0572	3	111	2185	138	2016.1957	26.8623	0.935
35	disease	-0.9052	-0.1299	2	119	5510	260	2018.5885	19.4269	0.787
36	dna	-0.4084	-0.2941	2	117	5779	324	2013.0772	50.6698	0.8785
37	drain	-0.175	1.0634	1	99	1633	64	2018.4531	8.75	0.3402
38	drug delivery	0.2953	-0.9363	3	96	998	68	2016.0882	72.4853	2.3612
39	electrical property	0.3392	0.5488	1	102	894	64	2016.0938	36	0.9195
40	electrochemical biosensor	-0.3094	-0.1828	4	107	1512	103	2016.6893	40.7573	1.1887
41	electrode	0.0575	0.0995	4	118	9814	611	2014.2504	39.0867	0.7002
42	electrode surface	0.2781	-0.5772	4	83	1403	66	2010.8485	148.8333	1.6083
43	electrolyte	0.3613	0.9064	1	107	2009	139	2015.9856	19.3597	0.6866
44	electronic	0.9739	-0.0646	3	115	6334	334	2017.5689	21.1707	0.8119
45	electronic device	0.9148	-0.0988	3	111	1934	104	2017.2981	14.7885	0.6878
46	enzyme	-0.4394	-0.4083	2	118	4444	240	2012.6125	38.5417	0.811
47	fet biosensor	-0.7061	0.6925	1	92	1481	100	2018.43	23.54	1
48	field effect transistor	-0.1368	0.6757	1	116	7791	599	2015.8731	29.1269	0.8743
49	film	0.7292	0.2862	3	118	6849	449	2014.4744	20.4766	0.6175
50	fluorescence	-0.4392	-0.6451	2	109	2306	124	2015.3952	19.0484	0.6079
51	focus	0.5761	-0.7519	3	110	1688	92	2016.8152	32.6196	0.966
52	fret	-0.1977	-1.0381	2	70	675	73	2015.3836	59.9589	1.6117
53	functionalization	0.2955	-0.4458	3	116	2191	148	2016.0135	16.6959	0.5396
54	gan	0.6007	-0.0635	3	91	881	70	2014.5714	39.4286	1.3503
55	gate	-0.2685	0.921	1	116	3667	208	2017.1971	13.524	0.6416
56	gate electrode	-0.2364	0.9312	1	103	1394	70	2017.6	16.1	0.5704
57	gold nanoparticle	-0.2602	-0.7025	2	100	1324	75	2016.08	63.5733	1.5112
58	graphene	0.6495	-0.6843	3	112	4962	288	2018.0729	51.1389	1.6396
59	growth	0.6122	-0.6299	3	117	4380	204	2014.9706	30.4706	0.5866
60	high sensitivity	-0.1822	0.185	1	119	3102	221	2017.4072	27.0724	0.8997
61	immobilization	-0.5754	-0.1318	4	113	2624	162	2015.2654	32.7284	0.7562
62	increase	-0.3836	0.1161	2	118	3337	137	2018.4234	12.4015	0.4999
63	influence	0.5484	0.4035	1	110	1553	91	2014.8681	16.8022	0.5818
64	insulator	0.3031	0.8542	1	99	1254	70	2016.0714	12.2286	0.5547
65	ion	0.3627	0.3669	4	119	3830	214	2015.2804	30.7664	0.8092
66	label free detection	-0.5253	0.6977	1	90	640	60	2016.85	39.8833	1.3123
67	low cost	-0.0744	0.2233	1	116	2909	154	2016.2662	17.7727	0.6755
68	medicine	-0.5947	-0.7906	2	114	2028	101	2015.9406	30.1584	0.9248
69	membrane	-0.0201	0.6033	4	116	3790	240	2012.1625	16.8375	0.3979
70	metal	1.2306	-0.2274	3	116	7679	337	2016.6024	50.7418	1.5051
71	min	-0.8945	-0.0071	2	107	2259	63	2015.5714	5.7143	0.2555
72	miniaturization	-0.401	0.3099	1	105	1017	85	2016.1294	24.1765	0.8712
73	morphology	0.7291	-0.1879	3	107	1984	110	2016.3364	22.1091	0.8148
74	mosfet	-0.3889	1.088	1	94	1591	106	2015.7453	6.9811	0.2819
75	nanomaterial	0.4987	-0.662	3	117	5901	419	2017.3246	73.3055	2.4583
76	nanotube	0.3388	-0.6502	3	117	3480	222	2014.0991	47.7342	1.2924
77	nanowire	0.637	-0.1971	3	116	3434	281	2013.7082	53.8577	1.2731
78	oect	0.2396	0.8226	1	79	1149	74	2021.2297	25.2162	1.4316
79	opportunity	0.7792	-0.304	3	114	1994	109	2018.2844	37.1376	1.3761
80	optimization	-0.4763	-0.2645	2	115	2045	85	2016.5882	16.3412	0.5238
81	organic semiconductor	0.6025	0.5314	1	111	1849	156	2017.5449	33.3013	1.1538
82	patient	-1.1978	-0.2054	2	105	2438	82	2019.4512	8.1829	0.4094
83	pec	-0.2101	-0.5978	2	80	546	63	2021.5873	42.3968	2.3357
84	peptide	-0.2606	-0.7897	2	101	3146	152	2013.25	28.0329	0.7652
85	perspective	0.2672	-0.2068	3	113	1343	96	2016.6042	44.9271	1.6754
86	photodetector	0.9509	-0.2139	3	94	1373	94	2017.0745	18.4149	0.8815
87	photoluminescence	0.7504	-0.4458	3	94	1170	76	2015.7105	35.2368	0.9362
88	poly	0.5697	0.632	1	107	2165	144	2015.5486	197.5417	0.8377
89	polymer	0.8452	0.0714	3	118	5378	380	2013.1474	124.4974	1.2756
90	property	0.7283	-0.3376	3	119	18355	1244	2016.5241	35.6342	0.9918
91	protein	-0.9827	-0.5473	2	119	12775	442	2014.4525	40.81	0.9194
92	qds	0.1957	-0.6694	2	95	1862	156	2017.1474	24.9872	0.9811
93	ratio	0.1633	0.0813	1	119	4375	240	2018.2417	13.5042	0.5421
94	recent progress	0.7314	-0.6386	3	100	1075	60	2017.0833	78.3667	2.7418
95	reference	0.4238	-0.0047	3	115	2632	132	2011.2955	53.6212	0.9488
96	respect	-0.0611	0.1231	1	109	1097	58	2016.6724	15.5172	0.5597
97	response	-0.5161	0.009	2	119	11056	468	2015.906	20.2158	0.7151
98	selectivity	-0.1499	-0.2103	2	118	2898	180	2018.1278	31.9167	1.235
99	semiconductor material	0.544	-0.0685	3	114	1928	154	2018.2143	23.1364	1.0641
100	sensitive detection	-0.6323	0.2081	2	108	973	63	2019.1905	30.7778	1.396
101	sensitivity	-0.2893	0.5044	1	119	12227	813	2018.1058	20.8635	0.7888
102	shape	0.8645	-0.4112	3	110	2099	89	2016.8539	17.8315	0.8706
103	silicon	0.4207	0.2721	1	118	4105	285	2013.3614	23.2877	0.5646
104	silicon nanowire	-0.4913	0.6836	1	87	735	62	2015.1935	42.1452	0.9563
105	simulation	-0.4169	0.773	1	106	2072	142	2016.5282	11.0352	0.4889
106	size	0.1186	-0.2116	2	119	5113	301	2015.8937	21.4153	0.6814
107	solar cell	1.1247	-0.2822	3	100	1901	148	2017.277	33.5946	0.8597
108	specificity	-1.2008	-0.5133	2	111	3027	98	2017.5918	22.898	0.8336
109	surface	0.0033	-0.2135	4	119	17450	1057	2014.3794	26.0208	0.6571
110	surface plasmon resonance	-0.1573	0.2551	1	102	951	77	2014.2078	20.8961	0.6513
111	thickness	0.4682	0.6632	1	110	1948	120	2018.0667	10.0833	0.5438
112	thin film	0.9267	0.3079	3	111	2979	183	2015.8306	21.306	0.7081
113	transducer	-0.0935	-0.0012	4	117	1967	131	2011.9542	36.1527	0.9797
114	transistor	0.4091	0.5854	1	118	6928	511	2018.6634	27.7965	1.0111
115	urea	0.0947	0.6532	4	75	699	51	2008.1373	18.3333	0.6446
116	variation	-0.3516	0.6494	1	116	2410	138	2016.029	17.6087	0.5753
117	virus	-1.0463	-0.0982	2	108	3727	129	2019.1473	20.6047	0.8666
118	voltage	-0.0666	0.8736	1	116	5280	300	2017.51	10.45	0.429
119	wavelength	0.1653	-0.3025	2	105	2096	169	2016.2959	18.6982	0.6304
120	zno	0.9987	0.1425	3	99	3052	243	2016.6626	39.7942	1.0493
