id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	absence	0.8642	0.2122	1	58	72	10	2019.5
2	activity	0.5166	-0.0066	1	184	492	65	2017.5077
3	adsorption	-0.3013	0.3403	3	106	193	30	2016.4667
4	advance	-0.6813	0.2633	2	107	189	21	2019.8095
5	analytical performance	0.6143	-0.3438	1	98	147	17	2019.9412
6	applicability	0.274	-0.0762	1	132	233	25	2019.8
7	aptasensor	0.2678	-0.36	5	98	146	14	2021.2857
8	article	-0.5606	0.4936	2	107	191	23	2017.2609
9	atomic force microscopy	0.2014	0.7797	3	87	157	19	2018.0526
10	attention	-0.3282	0.2778	2	150	309	36	2019.4722
11	bacterium	0.125	0.5675	3	118	250	32	2020.0312
12	bio	0.3457	0.4824	3	84	121	16	2016.5625
13	biocompatibility	0.0737	0.4544	2	106	185	23	2018.2174
14	bioelectronic	0.1211	0.8942	2	81	126	15	2019.6667
15	biomedical application	0.1709	0.1231	2	95	133	17	2017.5294
16	biosensor application	-0.3764	0.3497	2	113	169	20	2018.3
17	biosensor system	-0.8911	0.1689	2	90	138	19	2017.9474
18	biosensor technology	-0.8508	0.3737	2	85	124	16	2010.25
19	bovine serum albumin	-0.1521	-0.1375	3	71	102	13	2015.5385
20	bsa	-0.1264	-0.0612	3	82	117	13	2016.6154
21	buffer	-0.356	-0.562	4	93	171	23	2016.8261
22	buffer solution	0.0201	-0.2115	4	98	162	17	2015.5882
23	cancer	-0.0563	-0.758	4	133	297	30	2019.2
24	capacitance	0.0627	0.7738	3	116	212	28	2016.75
25	carbon nanotube	0.4587	0.5199	1	134	255	29	2017.7931
26	carcinoembryonic antigen	0.5988	-0.9197	1	93	165	14	2020.3571
27	care	-1.0204	0.0303	5	126	281	27	2019.8889
28	care testing	-1.2134	-0.2361	5	82	138	13	2021.1538
29	cea	0.5409	-0.943	1	94	172	14	2020.6429
30	cfu ml	0.3962	0.702	3	59	109	13	2022.5385
31	challenge	-0.2752	0.2234	2	194	680	75	2021.04
32	characterization	0.0995	0.7128	3	138	279	39	2016.6923
33	charge transfer	0.769	0.0456	1	99	153	19	2019.5789
34	chemical	-0.1801	0.6316	2	114	176	22	2016.8636
35	chip	-0.7759	-0.1545	2	180	615	88	2018.1023
36	circuit	-0.3975	0.0857	2	137	274	38	2018.0789
37	clinical application	0.2314	-0.247	4	117	197	19	2019.2632
38	cmo	-0.933	-0.1121	4	103	195	23	2018.1739
39	cmos	-1.1218	-0.2292	4	147	531	62	2017.371
40	complementary metal oxide semiconductor	-1.0652	-0.211	4	158	642	72	2017.7361
41	concentration range	0.3295	0.1516	3	112	181	18	2017.3333
42	construction	0.3718	-0.2544	1	125	204	20	2019.75
43	covid	-0.8073	-0.734	5	103	237	22	2022.0455
44	cyclic voltammetry	0.9884	0.5669	1	77	129	13	2015.5385
45	detail	0.2317	0.2118	2	68	94	10	2019.4
46	determination	0.7167	-0.3916	1	126	248	28	2015.9286
47	diode	-0.8679	0.1393	2	71	109	17	2017.5294
48	disease	-0.4677	-0.56	5	198	796	81	2020.1481
49	distance	0.145	-0.3058	1	92	143	16	2018.875
50	dna	-0.3982	-0.6182	4	161	469	58	2016.069
51	e coli	0.2505	0.5572	3	68	96	12	2020.4167
52	early diagnosis	-0.6842	-0.7553	4	105	203	17	2020.2941
53	ease	-0.2998	0.2771	2	99	159	14	2019.6429
54	ecl	0.4758	-0.7018	1	73	113	11	2018.5455
55	eis	0.7081	0.5379	1	69	112	12	2015.9167
56	electrical property	-0.0405	0.4411	2	86	105	14	2017.7857
57	electrochemical biosensor	0.1276	0.4741	3	139	234	27	2019.1111
58	electrochemical impedance spectroscopy	0.9252	0.5786	1	80	131	13	2016.8462
59	electrochemiluminescence	0.2261	-0.6444	1	67	103	10	2020.3
60	electrode	0.6934	0.1609	1	210	1003	113	2017.5664
61	electrode surface	0.7614	-0.3516	1	115	230	22	2015.9091
62	electrolyte	-0.1026	0.5201	2	106	196	18	2020.5556
63	electrolyte insulator semiconductor	0.1409	0.6571	3	82	170	21	2014
64	electron	0.6746	-0.4134	1	98	159	19	2018.7895
65	electron transfer	1.1035	0.2197	1	106	214	21	2019.381
66	environmental monitoring	-0.625	0.5142	2	84	131	16	2016.8125
67	enzymatic reaction	0.8611	0.2865	1	76	110	12	2017.25
68	escherichia coli	0.2647	0.6452	3	78	135	19	2021.7895
69	example	-0.6092	-0.0704	2	136	250	32	2018.4375
70	feasibility	-0.0071	-0.1525	4	83	119	18	2015.8889
71	fet	-0.7692	0.1656	5	175	570	65	2019.4462
72	fet biosensor	-0.9071	-0.0835	5	125	286	29	2019.069
73	fg ml	0.0854	-0.8384	5	116	236	22	2022
74	field effect	-0.8133	0.3291	4	96	163	22	2016.0455
75	field effect transistor	-0.6727	0.0747	5	207	1167	144	2018.1458
76	film	0.3216	0.3856	3	189	539	64	2016.7188
77	fluorescence	-0.4832	-0.0248	2	77	126	19	2016.2105
78	food	-0.3173	0.8596	3	60	83	12	2018.3333
79	formation	0.6418	-0.2376	1	145	307	36	2017.6111
80	free detection	-0.4357	-0.1505	5	97	156	20	2018.95
81	future	-0.2124	-0.1379	2	93	121	15	2019.2667
82	g ml	-0.0766	-0.571	5	79	105	11	2020
83	gate	-0.6995	0.4929	2	123	252	37	2019.0541
84	gate electrode	-0.3382	0.6879	2	85	142	16	2021.0625
85	glucose	0.7941	0.4299	1	137	329	42	2016.2857
86	glucose concentration	0.9564	0.5766	1	67	105	13	2014.7692
87	glucose detection	0.7632	0.6522	1	76	129	14	2016.0714
88	glucose oxidase	0.9359	0.6352	1	107	262	28	2014.6786
89	glutaraldehyde	-0.0149	0.1758	3	73	111	11	2013.3636
90	gold	0.1639	0.4497	3	82	121	13	2016.7692
91	gold nanoparticle	0.5232	-0.4656	1	117	216	23	2018.3913
92	good selectivity	0.7444	-0.1104	1	89	141	15	2017.8
